Gene	zoneI	zoneIId	zoneIIp	zoneIZ	zoneIII
sma0002	42.9134761368581	42.8656750292738	31.5304294919338	93.4477526465301	187.305089873992
sma0005	27.1611804289536	15.9446986567546	5.79073876588127	23.4693695015341	68.4234851689878
sma0007	12.7586304371453	10.1792822988799	7.20282837440742	42.6238306960864	68.9950768845854
sma0009	150.012299494636	141.505175612134	180.774623672925	143.588299534421	114.237746107492
sma0011	75.46112183688	64.0315137411358	80.6215851111206	73.521286228865	108.565071907979
sma0013	18.4168049894939	27.0974270110772	27.59858341025	30.811598288203	36.9959738931767
sma0015	10.4676357767292	25.9990684508535	32.2626500248908	31.1436586356735	35.0777974929877
sma0017	55.6770759614174	87.8575231289237	54.3912487552862	131.723055951171	38.6836166864318
sma0018	27.8801743098947	21.8836185120068	15.9676410761255	14.2831440795442	25.8398331484498
sma0020	0	0	0	0.137334455667884	6.81235963753813
sma0021	54.2964731190311	67.8015927675595	31.7969491672757	36.3456754058413	19.4849792258642
sma0025	119.793051682208	49.1387195681111	34.4732314640931	42.4723310225304	43.3059058726169
sma0026	0	6.07326344861834	6.91861108318163	2.63603092774779	7.41475375820179
sma0028	110.34277151447	112.20870580446	102.982191807777	173.172607939796	160.357154197075
sma0031	136.806500416789	81.6409518256481	50.5087674137278	45.8889554338328	16.3589623157388
sma0034	88.6728476944389	63.795225158924	29.1804363805767	19.7100669022195	21.6190937942576
sma0036	204.763122613969	125.097086013734	161.568870503796	67.743728371664	30.2430892227289
sma0039	21.4831569647517	11.5400433692662	7.47350974107649	13.4113587002987	17.0093019010499
sma0041	12.3035960393095	15.5119523773137	15.4005547346657	20.3650423773245	36.2326277859396
sma0044	288.028048403211	385.058045329871	563.881832973099	219.405157536793	151.406196603218
sma0045	30.7303597158576	43.6423010922944	26.40440114996	28.563782157947	29.2600179707419
sma0050	0	1.47337802826448	2.2077436227521	1.94563911684484	7.98813320434869
sma0052	22.6087023942384	7.40593195189643	2.66218184965995	6.28819354889903	3.84188279516247
sma0056	15.2334311026534	25.4190444997656	8.89324083567616	10.3734899515984	18.4611314334568
sma0058	44.2297997032099	60.3676921785624	31.1846574778174	26.4212998163097	14.4683399708394
sma0059	10.7400252648267	28.9862109720969	14.0839376680915	3.49951405014028	3.2735253354506
sma0060	111.20386097727	200.33292582857	106.579048726665	36.3177131535327	6.11216966552333
sma0062	63.5626592207615	16.2412115641193	27.4884431280654	13.5036944448175	3.27724261232867
sma0063	60.4545953383407	73.2887342302003	94.598564591872	32.7542992170865	1.713991811198
sma0064	46.2171393755381	39.6613943691547	37.1625622986056	23.9702765687017	4.88380152602564
sma0065	120.035980389655	179.20773990431	157.156952623732	161.907155551892	10.4683078377424
sma0067	19.7574984811474	19.2432306332985	12.3018333915882	7.91410302536254	2.20535983025864
sma0070	32.9920322992126	21.1671116399858	12.8903480078407	9.17144594123102	2.91125413581015
sma0072	16.6401093974267	25.5564835313099	31.2775006996628	20.9221211997999	7.7260127409928
sma0074	10.4871279971534	13.0973066701098	7.06922348966219	10.4133904103651	7.99544490486147
sma0077	0	12.5026555885921	4.36745578352514	4.32063454054328	4.19553243924119
sma0078	48.4559228058418	65.4942308394556	55.5555070981953	41.1052948190853	33.1523510152901
sma0079	87.7698644419017	189.390909517939	164.454555590162	76.6200372084606	103.314325082189
sma0081	6.42439867439403	39.4704538455912	34.3890891999605	18.3932146055933	12.4335337330003
sma0082	59.5564391173539	15.3904389853945	15.2842583068326	9.40361515674842	4.42884339690431
sma0083	59.3665300438813	25.1641669839399	23.8414865057709	14.9340755481539	15.3992985525397
sma0085	36.2759570897541	19.9013539218583	17.6510928633625	15.985015999646	9.60028168779574
sma0087	124.332883874743	47.0172151823884	38.104170925115	20.2887430356895	20.5492864819404
sma0089	26.3801870567305	20.4972149510443	21.2392687811531	42.3289877556028	17.9973680920246
sma0091	65.0757514188009	107.386553934424	39.0670172475095	63.9026234572181	49.2086753167307
sma0093	8.90770234788493	87.7883264534005	39.7074829592948	6.20877996736306	8.23547431334897
sma0095	19.8672639085454	78.2393196141922	58.0662635829678	4.47265959163115	6.99604181297691
sma0097	32.6534142302496	68.7264429828539	199.730297807694	33.4427045319589	41.8511322579337
sma0101	52.7342252526007	122.56888594092	37.1921377250878	2.74567498643389	3.00072182794599
sma0104	38.7036760528336	66.7553606235943	26.5396456209116	5.61806237598448	15.0301724777588
sma0105	18.0377347396448	66.2278358265985	27.7560784692586	1.13464736665661	2.29690303331653
sma0106	25.4814345367824	61.6876950798656	25.8483075446331	0.63354289038031	0.856182354563965
sma0108	13.8387866527111	55.4046602372899	40.1024424079941	1.5086149146506	3.09848328202307
sma0110	39.1475854413893	59.1424139265201	17.7271948304483	1.75415515585656	1.56537531681125
sma0112	53.07745097406	70.4702815780608	68.7485195862284	289.561225440436	489.583778051826
sma0113	88.9446073071759	113.700815900402	52.161293394779	53.7226592753734	47.4149997793797
sma0114	9.40876299889133	97.6472923748747	43.9003448322714	83.5523561101893	62.6239442507323
sma0116	40.7263671690313	14.6059415689918	11.9979758932844	15.4117221090497	36.7540992176156
sma0117	0	2.23798858985546	10.6883513391053	19.4755590765338	36.0510204461896
sma0118	42.3663151031536	39.3644065836434	55.6336754414918	55.6657726034063	33.9209551076018
sma0121	18.7658294977887	88.7961954297843	19.4064716982962	20.9896130783194	98.9532949413248
sma0123	1432.88996064855	947.475137415223	346.576978450098	251.076360566356	6614.78418735255
sma0124	581.423598711796	554.322896509076	375.88815647011	185.879935700041	986.921604368049
sma0125	1184.0023876894	1370.39933150992	1334.59210849961	1418.57763007683	3196.66740201102
sma0126	100.93163081842	167.117026296283	137.568355840276	129.06204765761	28.6314317133862
sma0128	17.9285090215095	0.8585037330045	2.12934266337886	0.989086276962995	1.80038988996179
sma0130	7.15001020381502	5.97720205778226	2.91232757271912	3.28242359568957	4.12552152936848
sma0132	54.1525730816455	22.5755039762605	13.7244520528139	14.6556806339372	6.21888024006303
sma0134	64.287173462355	147.787503149747	22.0283089728428	15.1573420274319	29.5810538674029
sma0136	40.0758576017101	49.7325360808347	20.0679175259489	10.8945474439603	24.821465046149
sma0137	164.243902929841	145.017393946801	98.6970869968274	56.0155726076346	23.8515652709495
sma0139	178.574176417347	142.410943355039	135.2744717946	73.8709539902178	63.5535827775473
sma0142	30.2149184461038	30.986040907621	22.1273261169406	10.1437452139307	5.76673216576953
sma0143	162.166972166675	187.545553512896	234.826768996508	49.9778629830127	35.547992412486
sma0144	60.0065177579568	44.3773173378853	56.5455305439239	13.6969364469486	20.4212676604369
sma0146	26.9759704078836	12.7497451830452	12.4376638611557	13.3272609224641	14.6343877878813
sma0148	11.1480814423522	6.54407260576628	3.5366271301957	2.29799548298544	3.91408785959572
sma0149	60.035602151241	50.3383327721297	58.0687561958716	28.3086741557366	31.461779937166
sma0150	77.2112585280847	25.2660762439586	19.0839697633076	6.71502674863279	4.6461182840362
sma0151	83.5494724402477	12.1136464991322	5.53544878469643	3.32854737561594	3.30787890565847
sma0155	287.176106715381	77.537818514115	32.118332946797	22.8489546664883	9.9161923668819
sma0157	672.599029434129	140.487463838564	62.6672340045484	25.2374935866715	16.811786332314
sma0160	355.07473384329	245.708581898953	275.111453582052	107.210404955598	8.86106489194989
sma0162	32.0617418745677	33.2258813015563	20.4759811434639	15.8747433631286	7.49302843747517
sma0163	168.263229500412	155.700142969961	156.570103921225	60.3294794008588	11.1143675918245
sma0164	14.2115485827504	40.1780845711823	25.0065156804276	10.1174046580596	3.59350502505651
sma0166	85.3236522543649	75.7523673851583	57.3529158859858	23.82893569684	7.37943509228284
sma0168	28.6401952336988	24.9983688649251	16.538229622464	9.02868739246243	15.3906753405296
sma0169	96.6775641241083	57.3736926196331	42.126386819492	22.3030556760237	15.7921523215763
sma0171	23.8833970230732	26.3315589093416	19.4930608522841	15.989598261673	19.0000223710104
sma0172	77.6688449886874	81.5708256399201	56.6858143237945	41.5686063138079	68.3480713940997
sma0175	53.5000341901681	120.456804934898	115.021496351344	139.796491778531	193.379569059491
sma0179	17.0484285123233	14.3134238009357	12.2438355173958	16.8957046051776	64.8162994462646
sma0180	14.3168929259378	15.8485583268968	21.8852116919667	27.0438064587254	75.7123413516636
sma0181	1238.04747455214	1054.30995814844	937.888306884392	1160.64198041791	384.73869977568
sma0185	176.67780870344	345.878237990407	161.306802852868	98.6281018913608	289.287155220283
sma0187	122.829165120134	111.682295233398	67.7433217979709	35.0285913830222	65.1967367494143
sma0189	246.03287467769	242.239440696445	193.685550128646	172.327715157132	51.4278207994547
sma0190	183.879267958164	147.381585948691	119.093904081327	112.530683135834	102.675647351491
sma0191	154.749639992433	35.9803367427782	18.6613181683529	60.0062189130016	486.163657236836
sma0193	24.3416824154112	21.7517862638926	35.7132931925138	56.9063247914337	85.6236300470344
sma0196	39.0871121387259	20.8018622813168	13.5490591515202	9.12914024768292	8.5771680003965
sma0197	4.4523522458617	3.51586340562014	6.10488740433841	2.6740334967042	3.05105495471389
sma0198	16.4514146070822	10.5308172618609	4.60395456027261	4.018947605331	3.42943292986444
sma0199	12.435705639093	14.7999016439419	4.32086533575414	4.04632838665325	6.16304278088591
sma0203	112.488907502552	32.5063874257613	25.7386032094423	14.1128560500138	6.51412918105734
sma0204	19.4701999108264	28.2332054135974	24.5396915561813	4.77706809041081	5.92008408574095
sma0206	11.6758780887327	26.3668047147779	9.01915190309688	6.39220257938273	3.90909575956395
sma0209	47.088141819461	82.9285119574189	61.4460173735665	67.4922745883031	17.4459227182569
sma0210	37.808645408829	32.4964704156341	17.9455129132685	28.7836959092874	6.10724505608117
sma0211	0	6.70953686717363	3.94944677487895	3.86674562297897	2.78231882004595
sma0214	0	3.47593622827097	3.37200010757885	5.39722249196767	15.0532469680132
sma0216	0	0.783739811104227	2.78501532981796	4.94715387703021	14.1484639941255
sma0217	4.20773072337213	12.9215409590469	5.8069814339392	14.8487192501895	11.8222196521781
sma0218	15.4298183837123	7.88118735371269	3.1196360736394	3.68175798327	15.1020615094228
sma0220	15.0800507563787	7.45765027284946	11.0388694419391	22.2467557488603	18.1576978798976
sma0222	41.0242659511946	46.696757557604	45.6947243462501	29.3370251797546	55.7323079126462
sma0223	94.2367407040441	134.893759627747	141.146562678224	77.1949604117968	78.5113033038876
sma0224	24.117197627159	6.32000923983798	3.68871279030948	3.36157372371985	9.3855405313156
sma0226	16.8428089226166	77.2003985479103	273.259200273963	50.5939291976463	56.0131258971036
sma0228	38.1919580449858	52.6386617705235	62.1013853737396	29.1461512790868	34.0592547214929
sma0229	1241.08094676377	434.50033721004	443.965910215274	466.379729707824	794.899805098923
sma0232	372.49284474568	59.9811201612973	41.9403754640448	182.5721694625	838.023664863535
sma0233	10.497155491153	19.2477280460619	15.5301787374062	22.9412249514548	18.4051746278787
sma0235	25.4424231413396	10.8865861151435	6.10603329035212	4.76430907782176	7.02835964677833
sma0237	12.8969513814479	13.9019896388058	8.33635490185353	3.18552129167601	6.61395178533701
sma0241	54.1362675381481	17.9922491368676	18.3439019160736	10.5524839009812	2.42145737429757
sma0244	129.382669726561	82.2629787957602	51.7418073373949	17.0466562505458	23.0556921145908
sma0246	68.2138519719478	95.5659349517081	95.225993935972	64.8695659110956	31.2367056387101
sma0247	226.727881862019	169.300775494404	132.178101871793	62.5812122467114	31.2881306619506
sma0249	136.616903273433	182.615508921503	71.7594027416164	43.4297234485622	49.4314095837147
sma0250	141.877593677724	162.23014173675	75.3696873960998	47.4109591380986	29.3426165268612
sma0252	183.156929930474	117.568297743341	81.7693077241807	27.4557285472656	57.8203225425889
sma0254	317.128822044924	275.791126690796	605.123114911929	124.580087995917	38.9918306511662
sma0255	125.521097261973	122.359584014408	163.016462869351	71.888215837	34.4386101767313
sma0257	14.8958367215988	4.70279218430859	4.9993953074388	4.96226262404437	5.16344650044791
sma0259	9.27707476671267	21.1370377649552	16.24540525913	22.7156547195061	13.9863685531732
sma0260	5.43697414606521	1.80859905812028	0.708805599038402	2.21879082391161	3.5327278411081
sma0263	0	0.904806711863097	1.33709027414557	2.6810793726596	15.8616704308259
sma0265	4.0236700944489	0.623622349427483	1.13560288407086	1.78310013080834	2.53198201156564
sma0267	12.2761612189339	38.9526826445933	46.387749096556	55.7929296666263	20.5868621466113
sma0270	34.5706670085036	50.946833727267	33.9101213788812	31.6656794175298	27.1690612592009
sma0271	67.8465380277386	32.3027049074514	16.6773958549155	16.3943990711512	16.1847221090933
sma0273	11.7754773482785	10.474930325617	7.28433692891151	13.157688821004	24.8931135392385
sma0275	38.9615070376327	52.8420552270655	40.3839257349499	48.018434911891	28.1683207235248
sma0277	146.186176411118	43.2967916630075	62.9734952001571	67.5089430896599	87.3125482734306
sma0279	0	46.4345316854985	23.1522135285173	26.8504448491702	36.1420054527803
sma0280	106.713367350159	110.873604899845	119.766633201173	91.3062273237956	68.4784401405651
sma0281	310.377559175495	140.182498711127	180.68262827539	76.0389142698488	50.3509073039623
sma0285	0	3.37190280871556	7.56680953699943	17.4807385619519	41.6642617833047
sma0286	62.9118698437856	80.9883745789288	79.4117913981868	115.033690006282	15.6173080692483
sma0287	7.6406733078245	8.91995157287992	9.38469290632952	11.5731733981454	38.1347650608784
sma0288	51.4601319724501	73.233949749285	13.1073528205277	21.6867358733894	64.1813599007988
sma0291	197.981020842221	298.799072305533	712.185856662585	407.177057421934	148.771570383361
sma0293	264.413325998622	242.434328574394	71.1760420248686	76.2774881223876	95.6952183863215
sma0298	32.9757735300165	29.1700890440726	19.7981786570175	18.8180970721913	31.7677661225914
sma0299	5.1175103392364	4.64277734614782	4.06133836016477	7.70773561576337	39.1179996567794
sma0300	0	6.502535811823	3.12506957968204	9.97560356613261	33.4419610999962
sma0301	6.30916282373227	19.9047134122153	8.8847372931385	19.7277340851686	62.7379999378047
sma0302	2.23666075219224	12.3179689135762	9.25280178550984	14.3290254177943	27.2290495401475
sma0303	34.2221317548368	72.4041992463977	55.1917614039677	40.6482105848527	8.89463546711671
sma0306	2.76925605194511	10.0821410687924	13.7865179095442	14.850301575383	21.9311556485684
sma0307	53.7746538415968	114.475567490664	87.5796995181481	97.4528182241304	64.9895306165347
sma0308	24.2001582762378	26.836858385228	13.3968329087364	19.1795655028152	22.8418136697153
sma0310	20.8641906088161	78.320587777878	157.87929795636	59.7841249300523	32.085223252414
sma0312	7.37907330258197	1.50904968421778	11.2308589119363	6.79734734893785	4.37022306073534
sma0314	0	11.0990159183732	12.1635954253897	16.813203723343	6.36919200715579
sma0316	32.6559302249725	32.0359664736429	19.6149282085309	37.4508816310813	48.3254891314972
sma0319	32.5792111375621	20.8174668355693	17.6295234276244	10.711651184062	7.73117862466395
sma0320	11.2555464775384	5.69593236496162	8.03026307962238	5.91503918467187	5.69751088280803
sma0322	0	1.97771958877179	4.14192766833013	6.22743271747639	28.1911880454585
sma0323	0	3.80971247100251	3.23353211043129	12.5467184842678	59.4391118484879
sma0325	0	0	4.17455632213652	4.95346813446741	14.0548231777563
sma0326	53.3630114747066	39.7405678024301	55.8740504642835	37.6374227750927	31.4158746862396
sma0329	0	10.739413754564	10.9323446389229	12.7772727218589	9.90835605206222
sma0333	0	7.82403405757722	25.4489759532069	13.2694103372627	2.89911737887025
sma0335	0	4.75057667141954	4.00709800919577	2.8846458731437	17.665737797004
sma0337	16.4797725669554	4.86908642174689	1.30520502136481	1.35439657277975	3.33296720983591
sma0339	9.36958392352693	7.24834219030036	7.2096697600605	3.61583141064452	28.3480073958195
sma0340	39.2104933489629	21.964017828002	4.76901858002043	4.03921297753544	7.48514080463347
sma0341	84.1096923486834	81.2731007574774	64.4602913747905	59.351415732194	23.9752708303885
sma0343	0	3.24794937128835	3.64167820496869	4.79520782332858	49.2222576889082
sma0346	0	3.80545103835558	3.11515807306394	2.65581124739708	11.5864460573147
sma0347	33.0566918418323	31.6825237016936	32.0071207587751	24.6053386886711	60.6691954790577
sma0349	0	11.9155209180597	9.6478683317939	5.37091205719717	10.0057568176738
sma0352	3.807559608247	7.94730754697039	7.82311065342329	6.25270933236621	16.1334068943521
sma0353	41.1373651074115	54.449600594245	32.879772040749	26.5822274049156	24.7525370223568
sma0355	188.978087119856	118.375483686043	61.8839963794383	36.8397785716292	9.7714689211304
sma0357	193.811958499584	198.51029480398	143.550690226391	207.741842731561	163.394183341925
sma0359	34.3156904803	22.1947557482478	7.05736339357296	10.4164975433687	2.05816788842065
sma0360	430.598673996067	373.638311185593	344.604747712523	256.854664456407	59.9305559636141
sma0364	16.4662229599449	4.60463226207163	6.69992293770455	8.81799120701113	74.3267544098412
sma0367	0	10.980995022566	18.647404208186	19.2853887802921	28.5953022041066
sma0369	49.8484205676431	36.1084492899573	24.8931324339775	28.2176089510737	17.6191806039839
sma0372	207.379000947993	127.315262271778	116.845740117128	61.6080176977455	290.4799196845
sma0374	0	9.72740880688062	9.62039978716388	8.61297127056179	18.1885183257289
sma0376	4.9498274907211	2.04762025581222	2.75982997420763	0.99795247979598	2.45093459413345
sma0380	22.3759335658617	6.95653650362493	7.70286918164205	5.82389675618056	10.6564938924651
sma0383	5.2793369969692	7.62940311172354	4.96209095087942	4.08987686344548	7.27203199046028
sma0384	65.0899621693554	45.9329988826322	30.8860614513861	30.6896783104583	47.1675981946332
sma0387	68.6277098462354	22.5102186420885	16.9748346553002	14.637143011174	24.8241928295181
sma0389	68.3701381502872	42.6494339182567	20.9882378781535	12.2724331862461	24.5277192825814
sma0391	857.875371889886	686.542310659565	306.680796442654	192.579509478381	183.476569292695
sma0392	118.030041310864	60.285641789952	39.395910328352	25.5893881379761	65.1082273515605
sma0394	47.433787977517	36.9071292810376	9.99154203171661	14.352177612576	68.3126823906094
sma0396	40.5483904666934	55.4638676951795	17.8603215443015	10.5683834635255	10.0309057204885
sma0398	36.3819729095363	17.2010394866151	5.63380088902541	4.34046449512304	6.81818242612976
sma0400	59.8991041405976	38.8469689186647	28.6509576665735	8.77101369904531	18.30218316079
sma0402	70.0870163840426	29.1312367802139	14.2894129514574	11.2792199026749	24.2883822721227
sma0403	39.3010387589863	45.0106388945569	13.3474434661013	8.02303698410693	13.0938160346891
sma0404	30.7877643094414	29.0278709408365	15.0546184041584	7.46251570033668	16.799844735949
sma0405	11.8589616965193	5.0136375673639	1.02108142552284	4.05721930276825	22.944918509768
sma0407	108.767424912523	159.322286553971	238.049058323475	226.873709052244	174.256862020288
sma0412	87.9839126991575	68.3167457741734	84.5354538170062	65.0664570414368	79.7902604895999
sma0414	18.2078563604017	13.692258696748	10.2190892830052	11.0637033826256	107.259669094685
sma0417	0	7.66520700605481	2.63307359884551	4.65150586174496	17.6284358588929
sma0421	0	0	0.783642632730191	1.3002888066718	11.201892473742
sma0424	0	8.81902383202834	6.42066907372616	9.87652374331008	49.3179662588031
sma0426	21.1256858888765	23.8042838882612	15.0185266036412	24.4555581224367	63.880399645244
sma0429	66.3151637641095	54.6319307763804	52.8837078471797	38.267147214485	95.6670603369122
sma0431	145.028439895687	101.052461202675	83.849214072651	74.4225236027244	226.464766922248
sma0433	17.922844709456	22.4947677434453	39.9711049838511	18.5707218949167	72.8008640978039
sma0436	18.0763594393014	51.6252593062472	48.7011447752347	19.3959144436229	43.6633912190383
sma0444	4.0228279959924	7.7839212413123	10.0755227663611	5.2053402159252	20.2695099335771
sma0445	11.563229468809	3.4082171297436	3.01537763968139	5.72700523188902	3.29821801565364
sma0447	155.565754919124	205.664226967581	138.597400603654	100.186552850069	216.473606216019
sma0448	31.7202085388447	43.7813797700049	46.8406145997782	45.7354092865898	63.1366708704534
sma0450	32.5271607840223	94.9326439037133	24.8832798071804	21.0791313758791	47.5833153725588
sma0453	65.1693699921462	67.0996660224797	52.8745261969443	70.0782992938761	359.956591352278
sma0461	43.5849245268192	37.8891526084498	42.0294493395713	31.8180597274487	167.018814837828
sma0462	82.515942758484	152.507245500012	113.685400129725	237.025369233889	565.532979500679
sma0464	20.567951251167	18.0453929958799	20.568061247936	18.3888485993643	52.9915145420265
sma0466	35.0966187689141	24.154081958952	16.4418667085915	16.831128686849	24.7045224928199
sma0467	91.9145534452469	97.3794078693354	83.0049912475685	54.2781244062805	81.8343235670802
sma0469	9.44214727145847	44.8962096219979	29.6157537464703	26.4328074902034	21.8071996539377
sma0470	15.2056387330061	17.8253007993634	7.57651619540994	5.91216365456861	7.39173783387852
sma0471	201.621146512875	156.607083199899	175.535554862613	234.496005225156	765.362422827223
sma0473	129.231862930471	66.0458498338066	95.2245615095271	181.075825252762	307.009418251571
sma0475	5.96234468152769	0.245011177733869	0.249913281989503	0.482522116166811	1.50658549630357
sma0478	17.3679429429811	12.263413526992	13.3823541277633	11.725600579834	42.9417678290972
sma0483	12.2708857804067	9.35629045699509	2.77782827917815	19.2444316163428	46.3513797466418
sma0485	19.5082633018259	23.5905891809089	10.994239353839	30.4447685495026	193.531764184036
sma0486	11.9612104294816	5.86540826658309	4.8111110009892	13.2129787457889	30.8396306013287
sma0489	19.8859658793605	25.1668625589562	17.8842158555975	28.9779302343922	35.7067388982341
sma0492	0	7.39677097554539	6.10221926325047	9.74284040079633	31.2634703442204
sma0493	79.4342287871187	82.8343306039356	58.7090427471047	64.0329806167581	184.9844182688
sma0495	142.135109843206	59.7148157416948	65.474791733795	49.4044829478015	87.0549434496061
sma0496	309.332178682179	353.959975842343	323.157743364738	528.116641140961	129.991325891086
sma0498	375.022331636414	389.727209772306	335.903226582786	313.381909003468	294.772831955173
sma0499	38.6608660313257	57.7643037883669	77.8371441675812	45.8792490554634	16.7755502130604
sma0501	11.5862156475101	12.7571826506638	11.7508260592885	14.7666095787981	7.64663066518718
sma0503	17.3137155531766	21.3088720528174	9.28237263307577	21.7850240275548	92.5093245697629
sma0506	5.289260562753	26.9638610734338	20.36213543313	30.7506156135867	101.37397158569
sma0508	25.8833216442791	16.5542880171864	19.4875763963787	22.9497305978329	77.837469946186
sma0510	0	8.03404761707761	8.61557353252092	7.39339158897387	26.4981947271752
sma0512	0	3.47325008234676	4.00105935527942	4.32223430669591	31.7888039864435
sma0513	4.5176996939121	1.20084804537427	0.815590069713332	0.0997813558089943	4.20944848138706
sma0514	0	0	0.349580683457013	0.930557691896859	5.71268947164495
sma0516	5.1175103392364	5.54744270075523	4.50969932219247	7.59280868298203	59.5758693265202
sma0518	51.6721890945124	8.71306396048534	7.47662834832368	13.1903356713729	34.1275754528171
sma0520	140.184926934754	148.040319143382	430.805451757422	269.044165404775	65.9109094688862
sma0522	15.4187787083892	28.1943992308101	21.7126779611032	44.2409667039352	23.0062373702802
sma0523	58.1621511045762	30.4960105365122	24.2765043593212	48.9978388671554	54.9453130338934
sma0525	2.51625093092022	3.77366556334316	2.54877528357757	6.3356296350469	12.7877788371813
