Gene	zoneI_1	zoneI_2	zoneI_3	zoneIId_1	zoneIId_2	zoneIId_3	zoneIIp_1	zoneIIp_2	zoneIIp_3	zoneIZ_1	zoneIZ_2	zoneIZ_3	zoneIII_1	zoneIII_2	zoneIII_3
smc02558	130.991273661007	141.326109045416	78.3508479524469	154.776461404737	144.186504834596	135.34755404471	285.85499817541	379.865572993066	210.390896819012	180.033947314526	232.80710678442	228.511274352881	288.116222209701	376.350052023542	230.548853992989
smc02559	62.3767969814318	50.4736103733628	44.7719131156839	46.7731064684644	37.190963548606	62.8399358064724	60.1272564084999	63.8103138974622	62.6591382968446	72.1390381225452	78.035901715448	66.3792222720268	55.5230256457739	40.9878883188904	46.3222582216328
smc02560	372.883134838694	653.741633253028	485.102305236868	265.307598837827	327.073375230624	384.079822842825	246.175927330782	282.772452958593	202.790254487741	105.075925707064	108.292766675057	102.077751998583	75.7624939966714	96.2980906558922	71.450525500301
smc02561	23.4490551615382	18.9743387144308	50.4927686804658	16.7839859322444	12.9055822228496	10.9029974091572	48.5031174477363	72.5896266501179	31.2782091989987	34.1934394063948	28.078473524651	43.3976879910513	27.905684930542	39.1456899349883	18.69181031298
smc02562	1312.88137737292	435.38850874473	347.584781568079	126.175363285056	106.6081522998	120.087404891793	253.567825420548	252.337057142824	119.442000000709	41.8457955341716	42.8246880462226	37.7301712307469	19.1578031831594	20.8953185500727	11.1442129039689
smc02563	56.7824654135904	114.867072934895	91.702113522819	104.51014943076	136.723937226378	125.408916387839	153.371127181379	287.153877188285	185.425078749221	58.531216055171	82.2001493854652	86.2602026997018	4.94446129142274	3.52949880627459	8.12407071209202
smc02564	888.150586278703	287.46693523266	300.528102166299	324.339836938591	279.319214442436	192.714302903339	274.672011291284	274.938666069585	366.312333785467	243.070908142895	246.258786435503	317.394513674032	95.014908463833	66.247065770677	105.287305200599
smc02565	12.5994923256026	50.9758353522023	40.6956643096291	29.6314293217449	10.4015140303564	25.3860835198286	48.8334531266297	47.7455187127384	27.1389039020168	39.2793395548498	51.340635039059	71.3147081763396	86.6732085283527	83.0152166992227	82.1495406177811
smc02566	142.733379244146	65.9976998762812	131.720266122954	79.2287534689799	101.000208700562	102.709395883365	99.0945919995963	152.089959885367	109.801120859609	72.7956281215602	80.5365690973118	89.6256599815191	21.3065674973386	20.6411131017052	24.1722407614903
smc02567	90.3746297264678	32.501642841531	43.2451944289477	120.132800634327	102.2416862857	77.0386256269551	208.713937478652	100.490848783456	139.003238977945	251.955595790072	268.83708503747	199.625923229257	18.0708754467911	16.9417542111538	13.7511884569352
smc02568	0	0	0	47.9542455206983	26.8866296309367	18.1716623485953	58.0781665231794	171.565999769316	43.6350325862574	53.0587852857851	62.8622541596665	83.1789019828484	0	0.694072516577808	2.39638593756153
smc02569	32.593281305613	105.494392852434	52.6372492035744	93.3163696618995	94.1758702748484	89.6655771486671	153.816536195168	242.239248034244	134.290998568674	198.304649253436	231.546681344872	209.867197717343	29.8004018374938	42.2553491945902	30.644132143644
smc02570	119.136328643299	27.5433949080448	73.29595453616	55.6888012498432	81.9608548426941	64.6266378687945	138.423005869871	263.884286536058	104.260697329996	115.959119455224	134.444111315674	152.241889323446	112.138698491537	111.835232913102	73.7468446591517
smc02571	38.2841716923073	15.4892560934129	41.2185866779312	25.4451098681256	60.5772226786818	49.6939337696279	24.0257169842165	21.0719359557872	44.6358722356081	41.1476294053027	36.4344493496842	50.0401912549878	46.671528803694	47.9334978795776	75.7062332927603
smc02572	116.704974997517	31.478165609194	62.8251038881371	81.5443161158419	53.5254562238002	93.4542635070615	198.821333298805	366.466302029913	114.734813467295	133.502750073911	148.436032402825	228.587821998948	0.564574945205976	8.29048830861602	4.7706853687861
smc02573	53.4282269503403	108.081676221441	57.5234073574927	30.0472804211971	18.378202532539	35.1932194852542	59.0120268812326	22.8129773845853	44.6077413892892	79.2523628319321	88.3254457180124	81.5766666667231	2.3261917046145	0.474429315129134	2.18404794309406
smc02574	173.458764208639	70.1790609985798	93.3770379707244	106.419010607577	85.9193556206152	104.84800248258	136.200933873056	167.569912819615	163.846399968453	215.869304518879	222.274041694426	274.74303431595	10.0695421733997	7.70135258120581	5.31800714910916
smc02575	67.1156702503391	36.2054519639316	24.086656437678	109.803360768242	98.5019703228097	119.624759559834	460.054955983057	866.883064210802	491.609450590622	185.049544441943	262.288868239343	250.150100831811	31.8186858253099	58.0077850250824	26.521133414992
smc02576	0	314.058020100924	156.701695904894	148.823520581478	140.181324144746	251.896836694321	1015.69132787275	1983.80717184262	665.351024800156	388.487887667185	476.452533251541	416.767451914062	71.8178266505119	89.1763516127211	58.0090664885585
smc02577	91.031558499142	51.5621857228962	29.4026906047285	51.1948631187901	57.6158631228584	48.6754952630237	353.919434258803	1067.56093191161	292.319712140174	157.91759243936	206.943806073289	188.831420967533	35.6705025588981	51.5719331584586	25.1181214735062
smc02578	71.8778985084048	135.710502063479	141.876559111621	96.7704878861396	131.864037849362	104.903958042695	68.0828357263464	56.9056447461042	120.970027630564	71.0796972229628	105.12329276502	139.307810173734	9.73611362461167	7.6590935036552	7.83529782423147
smc02579	120.267881289843	62.5612524777028	55.4940876949488	100.137834269138	95.7412086885078	80.5519957840716	44.8540902481997	57.1983366781124	48.0419712527361	48.1632664263096	48.5156718670533	64.2574315064244	33.6619193076168	28.5294882187356	22.1234870002289
smc02580	82.0191167085194	86.7884551063653	47.5492440488691	51.6099503361776	46.0086899872889	66.0046928357048	67.784843487846	82.6693366751381	64.7070874909031	55.3587924207444	72.2774976077959	114.818995133275	18.8622041857979	22.0733734868601	19.0851184982479
smc02581	88.2584364013616	126.02881802943	106.202502390648	120.504949075998	112.149985737309	129.14620547378	116.97882229003	169.720624722728	114.699591257009	96.8502304601538	124.054367249408	108.974637187861	20.7955243654836	25.3554166572705	16.3414066886115
smc02582	28.4870411411263	92.2037606820486	184.023138947929	93.2114018670042	201.858403609363	327.82578261729	124.426728935897	74.8815453535505	263.032499405753	153.267672231604	179.210457752822	164.535328879458	78.5514904077921	70.8281875184912	87.6284747561871
smc02583	48.2380563323072	19.5164626777003	51.9354192141934	61.6554585266121	39.8229394305074	54.2034728340956	39.717393260948	31.8607671651502	30.2653909963644	24.861830819625	23.2769946831222	28.6424740740939	17.5018233013853	13.2785987743	18.2399203933255
